RANK,COUNTRY,"2022SCORE","2020SCORE","VARIATION INSCORE","2020RANK","VARIATION INRANK","RELIGIONINDICATORS","BIOETHICALINDICATORS","DRUGSINDICATORS","SEXUALITYINDICATORS","GENDERINDICATORS","OVERALL MORAL FREEDOMCLASSIFICATION"
48,Bolivia,"60,43","62,30","-1,87",46.0,-2.0,"86,75","36,25","39,13","100,00","40,00",HIGH
49,Bosnia and Herzegovina,"59,23","60,36","-1,13",51.0,2.0,"86,75","67,50","21,41","82,50","38,00",ACCEPTABLE
50,Lithuania,"58,81","59,56","-0,75",52.0,2.0,"93,38","67,50","36,69","62,50","34,00",ACCEPTABLE
51,Poland,"57,34","64,22","-6,88",44.0,-7.0,"75,50","20,63","54,58","100,00","36,00",ACCEPTABLE
52,Saint Vincent and the Grenadines,"57,20","57,20","0,00",56.0,4.0,"96,13","31,25","68,61","65,00","25,00",ACCEPTABLE
53,Andorra,"56,58","50,96","5,62",73.0,20.0,"88,75","15,63","21,54","65,00","92,00",ACCEPTABLE
54,Montenegro,"55,53","56,28","-0,75",58.0,4.0,"92,38","62,50","19,76","65,00","38,00",ACCEPTABLE
55,Panama,"55,20","55,20","0,00",59.0,4.0,"94,25","31,25","16,49","100,00","34,00",ACCEPTABLE
56,Romania,"55,10","57,73","-2,63",54.0,-2.0,"82,13","67,50","20,90","65,00","40,00",ACCEPTABLE
57,Paraguay,"54,50","56,38","-1,88",57.0,0.0,"84,88","20,63","37,02","100,00","30,00",ACCEPTABLE
58,Moldova,"53,99","57,74","-3,75",53.0,-5.0,"76,38","62,50","54,59","42,50","34,00",ACCEPTABLE
59,Albania,"53,94","54,69","-0,75",61.0,2.0,"92,38","62,50","19,85","65,00","30,00",ACCEPTABLE
60,Trinidad and Tobago,"53,72","57,60","-3,88",55.0,-5.0,"96,13","15,63","66,87","65,00","25,00",ACCEPTABLE
61,"Korea, South","53,63","54,38","-0,75",63.0,2.0,"91,05","73,75","38,37","25,00","40,00",ACCEPTABLE
62,Japan,"53,03","53,53","-0,50",64.0,2.0,"92,50","47,50","23,42","63,75","38,00",ACCEPTABLE
63,Honduras,"52,21","60,84","-8,63",50.0,-13.0,"83,88","15,63","19,07","100,00","42,50",ACCEPTABLE
64,Botswana,"52,03","49,53","2,50",78.0,14.0,"98,00","31,25","19,38","70,00","41,50",ACCEPTABLE
65,Mozambique,"51,54","53,41","-1,87",66.0,1.0,"77,38","31,25","21,56","97,50","30,00",ACCEPTABLE
66,Singapore,"51,45","53,32","-1,87",67.0,1.0,"65,22","72,50","12,02","77,50","30,00",ACCEPTABLE
67,Serbia,"51,43","61,43","-10,00",49.0,-18.0,"75,50","62,50","20,16","65,00","34,00",ACCEPTABLE
68,Guinea-Bissau,"51,12","51,12","0,00",72.0,4.0,"95,13","15,63","22,35","97,50","25,00",ACCEPTABLE
69,Ukraine,"50,76","52,88","-2,12",69.0,0.0,"73,01","87,50","37,78","22,50","33,00",ACCEPTABLE
70,Mongolia,"50,65","54,40","-3,76",62.0,-8.0,"77,38","62,50","20,85","62,50","30,00",ACCEPTABLE
71,Ghana,"50,62","50,62","0,00",74.0,3.0,"95,13","31,25","39,22","62,50","25,00",ACCEPTABLE
72,Mali,"50,30","50,30","0,00",75.0,3.0,"78,25","31,25","22,01","100,00","20,00",ACCEPTABLE
73,Senegal,"49,40","51,15","-1,75",71.0,-2.0,"96,13","15,63","21,48","88,75","25,00",INSUFFICIENT
74,India,"49,27","51,39","-2,13",70.0,-4.0,"72,59","57,50","35,74","47,50","33,00",INSUFFICIENT
75,Kenya,"48,94","53,19","-4,25",68.0,-7.0,"77,50","51,25","20,97","70,00","25,00",INSUFFICIENT
76,Armenia,"48,63","55,13","-6,50",60.0,-16.0,"77,79","87,50","21,36","22,50","34,00",INSUFFICIENT
77,Tajikistan,"48,41","50,29","-1,88",76.0,-1.0,"43,63","67,50","16,94","80,00","34,00",INSUFFICIENT
78,Tunisia,"48,22","48,35","-0,13",82.0,4.0,"70,29","62,50","19,58","58,75","30,00",INSUFFICIENT
79,"Philippines, The","47,90","40,40","7,50",113.0,34.0,"65,96","62,50","41,07","45,00","25,00",INSUFFICIENT
80,Madagascar,"47,82","49,70","-1,88",77.0,-3.0,"77,38","15,63","21,11","100,00","25,00",INSUFFICIENT
81,Guatemala,"47,47","48,60","-1,13",80.0,-1.0,"83,88","15,63","20,36","87,50","30,00",INSUFFICIENT
82,Kazakhstan,"47,35","49,22","-1,88",79.0,-3.0,"38,82","87,50","16,41","60,00","34,00",INSUFFICIENT
83,Monaco,"46,70","46,70","0,00",89.0,6.0,"60,50","31,25","21,26","82,50","38,00",INSUFFICIENT
84,Kyrgyzstan,"46,64","48,52","-1,88",81.0,-3.0,"42,88","62,50","16,34","77,50","34,00",INSUFFICIENT
85,Saint Lucia,"46,64","46,64","0,00",90.0,5.0,"96,13","31,25","18,30","62,50","25,00",INSUFFICIENT
86,Liberia,"46,33","46,33","0,00",93.0,7.0,"96,13","31,25","21,75","52,50","30,00",INSUFFICIENT
87,Ivory Coast,"45,65","45,65","0,00",96.0,9.0,"91,38","15,63","21,27","70,00","30,00",INSUFFICIENT
88,Russia,"45,47","45,47","0,00",97.0,9.0,"46,32","87,50","17,06","42,50","34,00",INSUFFICIENT
