Entity,Code,Year,under_1ha_area,1-2ha_area,2-5ha_area,5-10ha_area,10-20ha_area,20-50ha_area,50-100ha_area,100-200ha_area,200-500ha_number,500-1000ha_number,over_1000ha_area
New Zealand,NZL,2002,,,,,,,,,9578,3022,
Nicaragua,NIC,2001,15878,29029,132712,224205,473233,1247190,1192009,1039403,3994,,
Northern Mariana Islands,MNP,2002,31,70,166,113,115,458,,,,,
Norway,NOR,1999,338,3501,37800,121246,322217,444725,91889,14766,7,,
Pakistan,PAK,2000,1183789,1981277,5699287,3891228,3324310,2355906,1970985,,,,
Panama,PAN,2001,17272.71,27538.71,76050.18,101864.33,199721.1,484939.49,493790.37,419983.9,1522,274,351587.02
Paraguay,PRY,1991,8499,31431,191374,430658,806802,857909,502648,569169,3503,1525,18358261
Peru,PER,1994,,,1927545,1776221,1559312,2654079,27464652,,,,
Philippines,PHL,2002,827031,1635995,3143996,1914396,965695,1072845,,,,,
Poland,POL,2002,537400,892300,2435000,3505200,4126700,3003600,937500,517700,2400,1100,1696000
Portugal,PRT,1999,146386,331130,544666,446878,502468,506326,360662,2350439,,,
Puerto Rico,PRI,2002,,,18945,23375,30489,46597,40003,112031,,,
Qatar,QAT,2001,547,246,671,1047,2276,6750,7680,23111,,,
Reunion,REU,2000,820,2172,8536,12927,6359,12877,,,,,
Romania,ROU,2002,770666,1274151,3168392,1740279,615560,315125,264244,7559540,,,
Saint Lucia,LCA,1996,6457,3426,4103,921,662,5201,,,,,
Saint Vincent and the Grenadines,VCT,2000,1335,1477,1816,711,530,1330,,,,,
Samoa,WSM,1999,1108,5954,13408,11970,9553,11389,,,,,
Senegal,SEN,1999,45383,106628,473239,632071,458886,161477,,,,,
Serbia,SRB,2002,89994,167954,574813,631747,316213,138702,,,,,
Slovakia,SVK,2001,,,,,,,,,364,353,
South Korea,KOR,1990,567691,765943,523857,,,,,,,,
Spain,ESP,1999,,,,,,,,,21594,11919,
Sweden,SWE,2000,,124030,294800,709200,1055310,1894610,1694860,1869080,,,
Switzerland,CHE,1990,8236,12760,39985,117567,456887,539443,70112,17177,,,
Thailand,THA,1993,574967,1721244,6403613,5926035,2520596,976842,878774,,,,
Trinidad and Tobago,TTO,2004,2847,4632,18361,11643,4949,6526,2150,2003,9,3,
Turkey,TUR,2001,243446,737802,2953162,3812703,4388440,4207550,1121855,446939,520,57,
Uganda,UGA,1991,404609,581608,913153,671031,1112887,,,,,,
United Kingdom,GBR,2000,,46900,86400,206600,471530,1662100,2711940,11342160,,,
United States,USA,2002,,,540430,1446884,4214923,14879051,24204526,34303773,201981,139913,
United States Virgin Islands,VIR,2002,,69,128,173,90,451,439,2360,,,
Uruguay,URY,2000,,,16516,47611,97841,285254,472928,910286,6783,3887,9700774
Venezuela,VEN,1997,20777,83678,373464,481418,748337,1516983,1810573,2442875,15587,6027,13966744
Yemen,YEM,2002,250259,168357,287761,903109,,,,,,,
