"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","HUR","WOMEN","PC_LF","M","1999-10",3.3,
"LUX","HUR","WOMEN","PC_LF","M","1999-11",3.2,
"LUX","HUR","WOMEN","PC_LF","M","1999-12",3.2,
"LUX","HUR","WOMEN","PC_LF","M","2000-01",2.9,
"LUX","HUR","WOMEN","PC_LF","M","2000-02",3,
"LUX","HUR","WOMEN","PC_LF","M","2000-03",3,
"LUX","HUR","WOMEN","PC_LF","M","2000-04",3,
"LUX","HUR","WOMEN","PC_LF","M","2000-05",3,
"LUX","HUR","WOMEN","PC_LF","M","2000-06",3,
"LUX","HUR","WOMEN","PC_LF","M","2000-07",3,
"LUX","HUR","WOMEN","PC_LF","M","2000-08",2.9,
"LUX","HUR","WOMEN","PC_LF","M","2000-09",2.9,
"LUX","HUR","WOMEN","PC_LF","M","2000-10",2.7,
"LUX","HUR","WOMEN","PC_LF","M","2000-11",2.6,
"LUX","HUR","WOMEN","PC_LF","M","2000-12",2.5,
"LUX","HUR","WOMEN","PC_LF","M","2001-01",2.4,
"LUX","HUR","WOMEN","PC_LF","M","2001-02",2.4,
"LUX","HUR","WOMEN","PC_LF","M","2001-03",2.4,
"LUX","HUR","WOMEN","PC_LF","M","2001-04",2.2,
"LUX","HUR","WOMEN","PC_LF","M","2001-05",2.1,
"LUX","HUR","WOMEN","PC_LF","M","2001-06",2.2,
"LUX","HUR","WOMEN","PC_LF","M","2001-07",2.2,
"LUX","HUR","WOMEN","PC_LF","M","2001-08",2.3,
"LUX","HUR","WOMEN","PC_LF","M","2001-09",2.3,
"LUX","HUR","WOMEN","PC_LF","M","2001-10",2.5,
"LUX","HUR","WOMEN","PC_LF","M","2001-11",2.6,
"LUX","HUR","WOMEN","PC_LF","M","2001-12",2.6,
"LUX","HUR","WOMEN","PC_LF","M","2002-01",2.9,
"LUX","HUR","WOMEN","PC_LF","M","2002-02",2.9,
"LUX","HUR","WOMEN","PC_LF","M","2002-03",2.9,
"LUX","HUR","WOMEN","PC_LF","M","2002-04",3.1,
"LUX","HUR","WOMEN","PC_LF","M","2002-05",3.4,
"LUX","HUR","WOMEN","PC_LF","M","2002-06",3.4,
"LUX","HUR","WOMEN","PC_LF","M","2002-07",3.6,
"LUX","HUR","WOMEN","PC_LF","M","2002-08",3.7,
"LUX","HUR","WOMEN","PC_LF","M","2002-09",3.7,
"LUX","HUR","WOMEN","PC_LF","M","2002-10",3.9,
"LUX","HUR","WOMEN","PC_LF","M","2002-11",3.9,
"LUX","HUR","WOMEN","PC_LF","M","2002-12",4,
"LUX","HUR","WOMEN","PC_LF","M","2003-01",4.2,
"LUX","HUR","WOMEN","PC_LF","M","2003-02",4.2,
"LUX","HUR","WOMEN","PC_LF","M","2003-03",4.3,
"LUX","HUR","WOMEN","PC_LF","M","2003-04",4.5,
"LUX","HUR","WOMEN","PC_LF","M","2003-05",4.6,
